Country Name,Country Code,Time,Time Code,Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income (constant 2015 US$) [NY.ADJ.NNTY.KD],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Adjusted net national income per capita (annual % growth) [NY.ADJ.NNTY.PC.KD.ZG],Adjusted net national income per capita (constant 2015 US$) [NY.ADJ.NNTY.PC.KD],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD]
Afghanistan,AFG,2021,YR2021,-19.50573346,..,13621070039,-21.38008956,..,340.5232436
Afghanistan,AFG,2022,YR2022,..,..,..,..,..,..
Afghanistan,AFG,2023,YR2023,..,..,..,..,..,..
Albania,ALB,2021,YR2021,11.05709518,11130019640,14797555219,12.09128911,3958.514148,5262.913596
Albania,ALB,2022,YR2022,..,..,..,..,..,..
Albania,ALB,2023,YR2023,..,..,..,..,..,..
Algeria,DZA,2021,YR2021,3.613816011,1.37377E+11,1.25759E+11,1.949443056,3069.116841,2809.555594
Algeria,DZA,2022,YR2022,..,..,..,..,..,..
Algeria,DZA,2023,YR2023,..,..,..,..,..,..
American Samoa,ASM,2021,YR2021,..,..,..,..,..,..
American Samoa,ASM,2022,YR2022,..,..,..,..,..,..
American Samoa,ASM,2023,YR2023,..,..,..,..,..,..
Andorra,AND,2021,YR2021,..,..,..,..,..,..
Andorra,AND,2022,YR2022,..,..,..,..,..,..
Andorra,AND,2023,YR2023,..,..,..,..,..,..
Angola,AGO,2021,YR2021,-1.282025981,68269353130,42541367192,-4.373133448,1976.963541,1231.925133
Angola,AGO,2022,YR2022,..,..,..,..,..,..
Angola,AGO,2023,YR2023,..,..,..,..,..,..
Antigua and Barbuda,ATG,2021,YR2021,..,..,..,..,..,..
Antigua and Barbuda,ATG,2022,YR2022,..,..,..,..,..,..
Antigua and Barbuda,ATG,2023,YR2023,..,..,..,..,..,..
Argentina,ARG,2021,YR2021,12.48955577,4.88631E+11,4.11983E+11,12.19086647,10783.62476,9092.085608
Argentina,ARG,2022,YR2022,..,..,..,..,..,..
Argentina,ARG,2023,YR2023,..,..,..,..,..,..
Armenia,ARM,2021,YR2021,2.40277797,10551045918,11228790134,2.375123032,3561.774944,3790.564809
Armenia,ARM,2022,YR2022,..,..,..,..,..,..
Armenia,ARM,2023,YR2023,..,..,..,..,..,..
Aruba,ABW,2021,YR2021,..,..,2662868130,..,..,24724.86657
Aruba,ABW,2022,YR2022,..,..,..,..,..,..
Aruba,ABW,2023,YR2023,..,..,..,..,..,..
Australia,AUS,2021,YR2021,..,..,1.1741E+12,..,..,45710.89045
Australia,AUS,2022,YR2022,..,..,..,..,..,..
Australia,AUS,2023,YR2023,..,..,..,..,..,..
Austria,AUT,2021,YR2021,3.661981271,3.23247E+11,3.87622E+11,3.211337748,36093.58792,43281.73348
Austria,AUT,2022,YR2022,..,..,..,..,..,..
Austria,AUT,2023,YR2023,..,..,..,..,..,..
Azerbaijan,AZE,2021,YR2021,..,..,40200481168,..,..,3965.424396
Azerbaijan,AZE,2022,YR2022,..,..,..,..,..,..
Azerbaijan,AZE,2023,YR2023,..,..,..,..,..,..
"Bahamas, The",BHS,2021,YR2021,13.1263172,9195024336,9868277249,12.98076132,23197.90787,24896.44161
"Bahamas, The",BHS,2022,YR2022,..,..,..,..,..,..
"Bahamas, The",BHS,2023,YR2023,..,..,..,..,..,..
Bahrain,BHR,2021,YR2021,..,..,..,..,..,..
Bahrain,BHR,2022,YR2022,..,..,..,..,..,..
Bahrain,BHR,2023,YR2023,..,..,..,..,..,..
Bangladesh,BGD,2021,YR2021,7.400798063,2.9706E+11,4.30455E+11,6.529062246,1771.811436,2567.444321
Bangladesh,BGD,2022,YR2022,..,..,..,..,..,..
Bangladesh,BGD,2023,YR2023,..,..,..,..,..,..
Barbados,BRB,2021,YR2021,..,..,4164575079,..,..,14760.30253
Barbados,BRB,2022,YR2022,..,..,..,..,..,..
Barbados,BRB,2023,YR2023,..,..,..,..,..,..
Belarus,BLR,2021,YR2021,3.15488078,49649987709,54066826263,4.012791098,5337.224837,5812.021741
Belarus,BLR,2022,YR2022,..,..,..,..,..,..
Belarus,BLR,2023,YR2023,..,..,..,..,..,..
Belgium,BEL,2021,YR2021,5.937338344,4.021E+11,4.83643E+11,5.502194289,34705.06474,41743.01428
Belgium,BEL,2022,YR2022,..,..,..,..,..,..
Belgium,BEL,2023,YR2023,..,..,..,..,..,..
Belize,BLZ,2021,YR2021,13.4239852,1826062045,1929542246,12.12318957,4618.895966,4880.641882
Belize,BLZ,2022,YR2022,..,..,..,..,..,..
Belize,BLZ,2023,YR2023,..,..,..,..,..,..
Benin,BEN,2021,YR2021,8.039651923,14122966493,15737769728,5.274928031,1052.898489,1173.285653
Benin,BEN,2022,YR2022,..,..,..,..,..,..
Benin,BEN,2023,YR2023,..,..,..,..,..,..
Bermuda,BMU,2021,YR2021,..,..,..,..,..,..
Bermuda,BMU,2022,YR2022,..,..,..,..,..,..
Bermuda,BMU,2023,YR2023,..,..,..,..,..,..
Bhutan,BTN,2021,YR2021,0.388570681,2011517193,2283956483,-0.315172823,2594.026624,2945.360817
Bhutan,BTN,2022,YR2022,..,..,..,..,..,..
Bhutan,BTN,2023,YR2023,..,..,..,..,..,..
Bolivia,BOL,2021,YR2021,-0.861395883,29995922705,31712478522,-1.866795615,2512.776921,2656.573859
Bolivia,BOL,2022,YR2022,..,..,..,..,..,..
Bolivia,BOL,2023,YR2023,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2021,YR2021,8.971352849,17164361539,19531593962,10.79963896,5289.631271,6019.153696
Bosnia and Herzegovina,BIH,2022,YR2022,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2023,YR2023,..,..,..,..,..,..
Botswana,BWA,2021,YR2021,3.240309112,11967020820,13101223231,1.712108641,4983.266639,5455.567399
Botswana,BWA,2022,YR2022,..,..,..,..,..,..
Botswana,BWA,2023,YR2023,..,..,..,..,..,..
Brazil,BRA,2021,YR2021,1.360330057,1.3575E+12,1.21033E+12,0.930098504,6478.170959,5775.839583
Brazil,BRA,2022,YR2022,..,..,..,..,..,..
Brazil,BRA,2023,YR2023,..,..,..,..,..,..
British Virgin Islands,VGB,2021,YR2021,..,..,..,..,..,..
British Virgin Islands,VGB,2022,YR2022,..,..,..,..,..,..
British Virgin Islands,VGB,2023,YR2023,..,..,..,..,..,..
Brunei Darussalam,BRN,2021,YR2021,-2.30768589,10204710852,10270331724,-3.241310229,22590.7382,22736.00679
Brunei Darussalam,BRN,2022,YR2022,..,..,..,..,..,..
Brunei Darussalam,BRN,2023,YR2023,..,..,..,..,..,..
Bulgaria,BGR,2021,YR2021,8.348450514,52586214654,69565093348,9.234930862,7645.853393,10114.52352
Bulgaria,BGR,2022,YR2022,..,..,..,..,..,..
